Step,Value
287,-9.10161612286428
288,-9.12975668287397
289,-9.14906132886511
290,-9.17427335947004
291,-9.19108145985861
292,-9.2007429293869
293,-9.20438040279015
294,-9.23956635232035
295,-9.26481351693446
296,-9.28166464193641
297,-9.29149929623188
298,-9.29530328859214
299,-9.29402370449827
300,-9.28841249463346
301,-9.30206795404135
302,-9.30911662667306
303,-9.31062220052794
304,-9.30747064290969
305,-9.30041130669662
306,-9.33601443613158
307,-9.36178800809283
308,-9.37923249151025
309,-9.3934889561321
310,-9.40117093497791
311,-9.40331881729897
312,-9.41133076414383
313,-9.41369374488968
314,-9.41133049240611
315,-9.41922859196133
316,-9.42157905963686
317,-9.41934307234966
318,-9.41311804696779
319,-9.40730678447218
320,-9.40839567280721
321,-9.40509621225173
322,-9.39803532693802
323,-9.38785075886961
324,-9.37494568608531
325,-9.35992187554617
326,-9.34302375267677
327,-9.32454533892992
328,-9.30472696811362
329,-9.29476282836838
330,-9.28230032290585
331,-9.26762594402564
332,-9.25114829120658
333,-9.24483700753231
334,-9.23544066286914
335,-9.22887998984563
336,-9.2193054243064
337,-9.20724686995305
338,-9.19307449323816
339,-9.17707718643994
340,-9.15956845728987
341,-9.14079275748301
342,-9.14290921258919
343,-9.14085282795423
344,-9.13519774502391
345,-9.12661737831427
346,-9.12761073348119
347,-9.12459942779556
348,-9.11825497070326
349,-9.10912511399853
350,-9.10370819969721
351,-9.09533013327107
352,-9.08702173838722
353,-9.09748250999303
354,-9.10260419591778
355,-9.1031670596484
356,-9.0998919747612
357,-9.09338410208523
358,-9.08416040324583
359,-9.0852246209572
360,-9.08244892914113
361,-9.07647568995917
362,-9.06773990355819
363,-9.05667512087481
364,-9.04364657002874
365,-9.05117009538869
366,-9.05394260773749
367,-9.0657599308713
368,-9.07220291374427
369,-9.07411018000599
370,-9.07211874265048
371,-9.06687663582749
372,-9.0718270301781
373,-9.07251938342726
374,-9.06956321930612
375,-9.06352770224577
376,-9.0549283793674
377,-9.0544859822035
378,-9.05070218017937
379,-9.04400551404114
380,-9.03484121037247
381,-9.02362361760749
382,-9.0162275645141
383,-9.00654488514399
384,-8.99493516737178
385,-8.98166543708108
386,-8.98256725764257
387,-8.98693926624045
388,-8.98726687796759
389,-8.98420953822802
390,-8.97829916538566
391,-8.99676677875225
392,-9.01826597550142
393,-9.03320619964435
394,-9.04710358657697
395,-9.05557297405124
396,-9.08367945081038
397,-9.10419995712376
398,-9.11828626451955
399,-9.1269195245639
400,-9.13090925434184
401,-9.13097372716774
402,-9.12768914308342
403,-9.12161078954999
404,-9.11318019101495
405,-9.10270669667972
406,-9.10906864223575
407,-9.11714677477917
408,-9.12082128718778
409,-9.12507987664135
410,-9.12548775026295
411,-9.12258432077099
412,-9.1278224279654
413,-9.12903828686935
414,-9.1268518286595
415,-9.12187797129173
416,-9.11448518589155
417,-9.10504503778382
418,-9.09385232897599
419,-9.08122344470222
420,-9.06736165193487
421,-9.0524739168247
422,-9.03671098359787
423,-9.03511792935042
424,-9.04197382469518
425,-9.04469512312225
426,-9.07066187706907
427,-9.0896361314279
428,-9.10265631840317
429,-9.1266899194403
430,-9.10911350977132
